t,x,y,dark_L,dark_R,exp_L,exp_R,LC4_L_hz,LC4_R_hz,drive_L,drive_R,P9_hz,LC4_left_hz,LC4_right_hz,DNa01_left_hz,DNa01_right_hz,DNa02_left_hz,DNa02_right_hz,oDN1_left_hz,oDN1_right_hz,GF_hz
0.48,6.0495429459427505,1.6497319317769434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.495,6.339626222919297,1.7864958659680252,0.004098360655737705,0.0,0.09107468123861567,0.0,1.8032786885245904,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.51,6.4759265904844066,1.6404279988394443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.525,6.769046853554161,1.5086323856826542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.54,7.011654718754411,1.618975291304938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.555,7.071210640590304,1.7990777174444983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.57,7.297747219913938,2.076391527185252,0.012295081967213115,0.0,0.26722735688532084,0.0,5.291101666329353,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.585,7.51140717279713,1.9817665828667121,0.012295081967213115,0.0,0.17815157125688058,0.0,3.5274011108862355,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.6,7.67113987112897,1.860506293140397,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
0.615,8.065407188299591,1.735663208186526,0.0,0.0,-0.1636873405221393,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0
